"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"5-9 years"	"5-9"	2629	19160169	13.7
	"Florida"	"12"	"10-14 years"	"10-14"	3347	20268969	16.5
	"Florida"	"12"	"15-19 years"	"15-19"	12549	20762818	60.4
	"Florida"	"12"	"20-24 years"	"20-24"	21925	21067835	104.1
	"Florida"	"12"	"25-34 years"	"25-34"	50806	41084464	123.7
	"Florida"	"12"	"35-44 years"	"35-44"	93280	44760965	208.4
	"Florida"	"12"	"45-54 years"	"45-54"	206654	45530697	453.9
	"Florida"	"12"	"55-64 years"	"55-64"	347497	38667690	898.7
	"Florida"	"12"	"65-74 years"	"65-74"	536963	30666232	1751.0
	"Florida"	"12"	"75-84 years"	"75-84"	857914	19939223	4302.6
	"Florida"	"12"	"85+ years"	"85+"	965241	7503385	12864.1
	"Florida"	"12"	"Not Stated"	"NS"	373	Not Applicable	Not Applicable
	"Georgia"	"13"	"< 1 year"	"1"	19088	2384110	800.6
	"Georgia"	"13"	"1-4 years"	"1-4"	3139	9455059	33.2
	"Georgia"	"13"	"5-9 years"	"5-9"	1819	11859083	15.3
	"Georgia"	"13"	"10-14 years"	"10-14"	2236	12091346	18.5
	"Georgia"	"13"	"15-19 years"	"15-19"	7473	12035539	62.1
	"Georgia"	"13"	"20-24 years"	"20-24"	11906	12031442	99.0
	"Georgia"	"13"	"25-34 years"	"25-34"	28477	23968541	118.8
	"Georgia"	"13"	"35-44 years"	"35-44"	51827	24902781	208.1
	"Georgia"	"13"	"45-54 years"	"45-54"	110809	23194117	477.7
	"Georgia"	"13"	"55-64 years"	"55-64"	179653	17256852	1041.1
	"Georgia"	"13"	"65-74 years"	"65-74"	236158	10441976	2261.6
	"Georgia"	"13"	"75-84 years"	"75-84"	308138	5499706	5602.8
	"Georgia"	"13"	"85+ years"	"85+"	298272	1942486	15355.2
	"Georgia"	"13"	"Not Stated"	"NS"	63	Not Applicable	Not Applicable
	"Hawaii"	"15"	"< 1 year"	"1"	2043	320336	637.8
	"Hawaii"	"15"	"1-4 years"	"1-4"	303	1221032	24.8
	"Hawaii"	"15"	"5-9 years"	"5-9"	160	1478404	10.8
	"Hawaii"	"15"	"10-14 years"	"10-14"	197	1505985	13.1
	"Hawaii"	"15"	"15-19 years"	"15-19"	669	1493330	44.8
	"Hawaii"	"15"	"20-24 years"	"20-24"	1138	1711887	66.5
	"Hawaii"	"15"	"25-34 years"	"25-34"	2634	3299422	79.8
	"Hawaii"	"15"	"35-44 years"	"35-44"	5125	3255945	157.4
	"Hawaii"	"15"	"45-54 years"	"45-54"	11999	3328173	360.5
	"Hawaii"	"15"	"55-64 years"	"55-64"	20444	2774583	736.8
	"Hawaii"	"15"	"65-74 years"	"65-74"	27717	1798783	1540.9
	"Hawaii"	"15"	"75-84 years"	"75-84"	43490	1138580	3819.7
	"Hawaii"	"15"	"85+ years"	"85+"	56358	489255	11519.1
	"Hawaii"	"15"	"Not Stated"	"NS"	16	Not Applicable	Not Applicable
	"Idaho"	"16"	"< 1 year"	"1"	2415	403628	598.3
	"Idaho"	"16"	"1-4 years"	"1-4"	476	1607015	29.6
	"Idaho"	"16"	"5-9 years"	"5-9"	283	2029547	13.9
	"Idaho"	"16"	"10-14 years"	"10-14"	432	2050471	21.1
	"Idaho"	"16"	"15-19 years"	"15-19"	1304	2047969	63.7
	"Idaho"	"16"	"20-24 years"	"20-24"	1672	1919267	87.1
	"Idaho"	"16"	"25-34 years"	"25-34"	3313	3516946	94.2
	"Idaho"	"16"	"35-44 years"	"35-44"	5869	3487155	168.3
	"Idaho"	"16"	"45-54 years"	"45-54"	12590	3512067	358.5
	"Idaho"	"16"	"55-64 years"	"55-64"	22265	2878189	773.6
	"Idaho"	"16"	"65-74 years"	"65-74"	33921	1870901	1813.1
	"Idaho"	"16"	"75-84 years"	"75-84"	53030	1066747	4971.2
	"Idaho"	"16"	"85+ years"	"85+"	62596	415162	15077.5
	"Illinois"	"17"	"< 1 year"	"1"	22039	3003076	733.9
	"Illinois"	"17"	"1-4 years"	"1-4"	3245	12119805	26.8
	"Illinois"	"17"	"5-9 years"	"5-9"	1896	15518546	12.2
	"Illinois"	"17"	"10-14 years"	"10-14"	2469	16036535	15.4
	"Illinois"	"17"	"15-19 years"	"15-19"	9486	16152332	58.7
	"Illinois"	"17"	"20-24 years"	"20-24"	14663	15883727	92.3
	"Illinois"	"17"	"25-34 years"	"25-34"	31522	31936474	98.7
	"Illinois"	"17"	"35-44 years"	"35-44"	55923	32490135	172.1
	"Illinois"	"17"	"45-54 years"	"45-54"	126461	31900770	396.4
	"Illinois"	"17"	"55-64 years"	"55-64"	214241	24406041	877.8
	"Illinois"	"17"	"65-74 years"	"65-74"	314146	15277820	2056.2
	"Illinois"	"17"	"75-84 years"	"75-84"	495263	9632459	5141.6
	"Illinois"	"17"	"85+ years"	"85+"	580729	4022990	14435.3
	"Illinois"	"17"	"Not Stated"	"NS"	110	Not Applicable	Not Applicable
	"Indiana"	"18"	"< 1 year"	"1"	11685	1529593	763.9
	"Indiana"	"18"	"1-4 years"	"1-4"	2025	6157519	32.9
	"Indiana"	"18"	"5-9 years"	"5-9"	1222	7898831	15.5
	"Indiana"	"18"	"10-14 years"	"10-14"	1442	8112900	17.8
	"Indiana"	"18"	"15-19 years"	"15-19"	5189	8317345	62.4
	"Indiana"	"18"	"20-24 years"	"20-24"	7906	8222569	96.1
	"Indiana"	"18"	"25-34 years"	"25-34"	18026	14904556	120.9
	"Indiana"	"18"	"35-44 years"	"35-44"	31668	15820554	200.2
	"Indiana"	"18"	"45-54 years"	"45-54"	72286	16083008	449.5
	"Indiana"	"18"	"55-64 years"	"55-64"	123896	12651783	979.3
	"Indiana"	"18"	"65-74 years"	"65-74"	183629	8048851	2281.4
	"Indiana"	"18"	"75-84 years"	"75-84"	276320	4956990	5574.4
	"Indiana"	"18"	"85+ years"	"85+"	296354	1957523	15139.2
	"Indiana"	"18"	"Not Stated"	"NS"	38	Not Applicable	Not Applicable
	"Iowa"	"19"	"< 1 year"	"1"	3670	700350	524.0
	"Iowa"	"19"	"1-4 years"	"1-4"	764	2800255	27.3
	"Iowa"	"19"	"5-9 years"	"5-9"	487	3588234	13.6
	"Iowa"	"19"	"10-14 years"	"10-14"	609	3697091	16.5
	"Iowa"	"19"	"15-19 years"	"15-19"	2036	3951573	51.5
	"Iowa"	"19"	"20-24 years"	"20-24"	2671	3931825	67.9
	"Iowa"	"19"	"25-34 years"	"25-34"	5562	6678946	83.3
	"Iowa"	"19"	"35-44 years"	"35-44"	10899	7057477	154.4
	"Iowa"	"19"	"45-54 years"	"45-54"	26786	7542521	355.1
	"Iowa"	"19"	"55-64 years"	"55-64"	48669	6104744	797.2
	"Iowa"	"19"	"65-74 years"	"65-74"	78605	4076706	1928.1
	"Iowa"	"19"	"75-84 years"	"75-84"	137860	2819048	4890.3
	"Iowa"	"19"	"85+ years"	"85+"	188652	1297505	14539.6
	"Kansas"	"20"	"< 1 year"	"1"	4885	708760	689.2
	"Kansas"	"20"	"1-4 years"	"1-4"	942	2820735	33.4
	"Kansas"	"20"	"5-9 years"	"5-9"	506	3552046	14.2
	"Kansas"	"20"	"10-14 years"	"10-14"	676	3601461	18.8
	"Kansas"	"20"	"15-19 years"	"15-19"	2254	3710959	60.7
	"Kansas"	"20"	"20-24 years"	"20-24"	3371	3728289	90.4
	"Kansas"	"20"	"25-34 years"	"25-34"	6680	6520214	102.5
	"Kansas"	"20"	"35-44 years"	"35-44"	11844	6666067	177.7
	"Kansas"	"20"	"45-54 years"	"45-54"	27838	6900573	403.4
	"Kansas"	"20"	"55-64 years"	"55-64"	47432	5391895	879.7
	"Kansas"	"20"	"65-74 years"	"65-74"	70547	3448219	2045.9
	"Kansas"	"20"	"75-84 years"	"75-84"	118907	2304133	5160.6
	"Kansas"	"20"	"85+ years"	"85+"	152981	1033348	14804.4
	"Kentucky"	"21"	"< 1 year"	"1"	6922	994692	695.9
	"Kentucky"	"21"	"1-4 years"	"1-4"	1308	3946351	33.1
	"Kentucky"	"21"	"5-9 years"	"5-9"	776	5008897	15.5
	"Kentucky"	"21"	"10-14 years"	"10-14"	1026	5115867	20.1
	"Kentucky"	"21"	"15-19 years"	"15-19"	3550	5208918	68.2
	"Kentucky"	"21"	"20-24 years"	"20-24"	5662	5370969	105.4
	"Kentucky"	"21"	"25-34 years"	"25-34"	14989	10117191	148.2
	"Kentucky"	"21"	"35-44 years"	"35-44"	27095	10732513	252.5
	"Kentucky"	"21"	"45-54 years"	"45-54"	58872	10947656	537.8
	"Kentucky"	"21"	"55-64 years"	"55-64"	100324	8837741	1135.2
	"Kentucky"	"21"	"65-74 years"	"65-74"	145806	5743165	2538.8
	"Kentucky"	"21"	"75-84 years"	"75-84"	196965	3298217	5971.9
	"Kentucky"	"21"	"85+ years"	"85+"	189338	1193167	15868.5
	"Kentucky"	"21"	"Not Stated"	"NS"	22	Not Applicable	Not Applicable
	"Louisiana"	"22"	"< 1 year"	"1"	10362	1134793	913.1
	"Louisiana"	"22"	"1-4 years"	"1-4"	2039	4490597	45.4
	"Louisiana"	"22"	"5-9 years"	"5-9"	1112	5618656	19.8
	"Louisiana"	"22"	"10-14 years"	"10-14"	1432	5788148	24.7
	"Louisiana"	"22"	"15-19 years"	"15-19"	5068	5975634	84.8
	"Louisiana"	"22"	"20-24 years"	"20-24"	8496	6159969	137.9
	"Louisiana"	"22"	"25-34 years"	"25-34"	18776	11121542	168.8
	"Louisiana"	"22"	"35-44 years"	"35-44"	30322	10966530	276.5
	"Louisiana"	"22"	"45-54 years"	"45-54"	64696	11268196	574.1
	"Louisiana"	"22"	"55-64 years"	"55-64"	104482	8887005	1175.7
	"Louisiana"	"22"	"65-74 years"	"65-74"	139477	5640762	2472.7
	"Louisiana"	"22"	"75-84 years"	"75-84"	190070	3284479	5786.9
	"Louisiana"	"22"	"85+ years"	"85+"	179601	1161119	15467.9
	"Louisiana"	"22"	"Not Stated"	"NS"	24	Not Applicable	Not Applicable
	"Maine"	"23"	"< 1 year"	"1"	1419	241752	587.0
	"Maine"	"23"	"1-4 years"	"1-4"	237	1000860	23.7
	"Maine"	"23"	"5-9 years"	"5-9"	176	1360929	12.9
	"Maine"	"23"	"10-14 years"	"10-14"	221	1500434	14.7
	"Maine"	"23"	"15-19 years"	"15-19"	884	1600840	55.2
	"Maine"	"23"	"20-24 years"	"20-24"	1246	1393313	89.4
	"Maine"	"23"	"25-34 years"	"25-34"	2796	2696293	103.7
	"Maine"	"23"	"35-44 years"	"35-44"	5382	3307790	162.7
	"Maine"	"23"	"45-54 years"	"45-54"	13437	3729690	360.3
	"Maine"	"23"	"55-64 years"	"55-64"	25339	3097315	818.1
	"Maine"	"23"	"65-74 years"	"65-74"	40171	2020580	1988.1
	"Maine"	"23"	"75-84 years"	"75-84"	64961	1234298	5263.0
	"Maine"	"23"	"85+ years"	"85+"	75566	495249	15258.2
	"Maryland"	"24"	"< 1 year"	"1"	9892	1313338	753.2
	"Maryland"	"24"	"1-4 years"	"1-4"	1419	5236000	27.1
	"Maryland"	"24"	"5-9 years"	"5-9"	865	6671039	13.0
	"Maryland"	"24"	"10-14 years"	"10-14"	1109	7016871	15.8
	"Maryland"	"24"	"15-19 years"	"15-19"	4163	7024766	59.3
	"Maryland"	"24"	"20-24 years"	"20-24"	7242	6681596	108.4
	"Maryland"	"24"	"25-34 years"	"25-34"	16122	13743053	117.3
	"Maryland"	"24"	"35-44 years"	"35-44"	29679	15130913	196.1
	"Maryland"	"24"	"45-54 years"	"45-54"	63036	15271054	412.8
	"Maryland"	"24"	"55-64 years"	"55-64"	98759	11496092	859.1
	"Maryland"	"24"	"65-74 years"	"65-74"	136473	6870296	1986.4
	"Maryland"	"24"	"75-84 years"	"75-84"	205905	4046528	5088.4
	"Maryland"	"24"	"85+ years"	"85+"	225763	1612900	13997.3
	"Maryland"	"24"	"Not Stated"	"NS"	95	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"< 1 year"	"1"	6422	1344729	477.6
	"Massachusetts"	"25"	"1-4 years"	"1-4"	921	5420444	17.0
	"Massachusetts"	"25"	"5-9 years"	"5-9"	642	7083929	9.1
	"Massachusetts"	"25"	"10-14 years"	"10-14"	819	7499871	10.9
	"Massachusetts"	"25"	"15-19 years"	"15-19"	2894	8139795	35.6
	"Massachusetts"	"25"	"20-24 years"	"20-24"	5511	8171700	67.4
	"Massachusetts"	"25"	"25-34 years"	"25-34"	13627	15880405	85.8
	"Massachusetts"	"25"	"35-44 years"	"35-44"	26141	16986251	153.9
	"Massachusetts"	"25"	"45-54 years"	"45-54"	57932	17263166	335.6
	"Massachusetts"	"25"	"55-64 years"	"55-64"	96831	13255468	730.5
	"Massachusetts"	"25"	"65-74 years"	"65-74"	150828	8355616	1805.1
	"Massachusetts"	"25"	"75-84 years"	"75-84"	270643	5547960	4878.2
	"Massachusetts"	"25"	"85+ years"	"85+"	353844	2468583	14333.9
	"Massachusetts"	"25"	"Not Stated"	"NS"	21	Not Applicable	Not Applicable
	"Michigan"	"26"	"< 1 year"	"1"	16513	2189548	754.2
	"Michigan"	"26"	"1-4 years"	"1-4"	2476	8984552	27.6
	"Michigan"	"26"	"5-9 years"	"5-9"	1628	11904087	13.7
	"Michigan"	"26"	"10-14 years"	"10-14"	2199	12683216	17.3
	"Michigan"	"26"	"15-19 years"	"15-19"	7256	13019169	55.7
	"Michigan"	"26"	"20-24 years"	"20-24"	11378	12375594	91.9
	"Michigan"	"26"	"25-34 years"	"25-34"	26242	22301395	117.7
	"Michigan"	"26"	"35-44 years"	"35-44"	49239	24765695	198.8
	"Michigan"	"26"	"45-54 years"	"45-54"	115016	26087734	440.9
	"Michigan"	"26"	"55-64 years"	"55-64"	191420	20626668	928.0
	"Michigan"	"26"	"65-74 years"	"65-74"	274382	12987899	2112.6
	"Michigan"	"26"	"75-84 years"	"75-84"	427877	8058748	5309.5
	"Michigan"	"26"	"85+ years"	"85+"	474306	3199389	14824.9
	"Michigan"	"26"	"Not Stated"	"NS"	22	Not Applicable	Not Applicable
	"Minnesota"	"27"	"< 1 year"	"1"	6477	1242476	521.3
	"Minnesota"	"27"	"1-4 years"	"1-4"	1136	4970980	22.9
	"Minnesota"	"27"	"5-9 years"	"5-9"	783	6332363	12.4
	"Minnesota"	"27"	"10-14 years"	"10-14"	971	6539079	14.8
	"Minnesota"	"27"	"15-19 years"	"15-19"	3051	6688600	45.6
	"Minnesota"	"27"	"20-24 years"	"20-24"	4452	6385515	69.7
	"Minnesota"	"27"	"25-34 years"	"25-34"	9354	12562993	74.5
	"Minnesota"	"27"	"35-44 years"	"35-44"	17212	13203738	130.4
	"Minnesota"	"27"	"45-54 years"	"45-54"	40518	13552013	299.0
	"Minnesota"	"27"	"55-64 years"	"55-64"	69890	10262145	681.0
	"Minnesota"	"27"	"65-74 years"	"65-74"	106274	6277869	1692.8
	"Minnesota"	"27"	"75-84 years"	"75-84"	183669	4013404	4576.4
	"Minnesota"	"27"	"85+ years"	"85+"	258497	1830167	14124.2
	"Minnesota"	"27"	"Not Stated"	"NS"	11	Not Applicable	Not Applicable
	"Mississippi"	"28"	"< 1 year"	"1"	7441	733558	1014.4
	"Mississippi"	"28"	"1-4 years"	"1-4"	1423	2930804	48.6
	"Mississippi"	"28"	"5-9 years"	"5-9"	780	3720972	21.0
	"Mississippi"	"28"	"10-14 years"	"10-14"	1034	3831953	27.0
	"Mississippi"	"28"	"15-19 years"	"15-19"	3368	3982758	84.6
	"Mississippi"	"28"	"20-24 years"	"20-24"	5107	3934373	129.8
	"Mississippi"	"28"	"25-34 years"	"25-34"	11868	6887818	172.3
	"Mississippi"	"28"	"35-44 years"	"35-44"	21024	7026687	299.2
	"Mississippi"	"28"	"45-54 years"	"45-54"	44657	7098330	629.1
	"Mississippi"	"28"	"55-64 years"	"55-64"	72918	5726629	1273.3
	"Mississippi"	"28"	"65-74 years"	"65-74"	99540	3810679	2612.1
	"Mississippi"	"28"	"75-84 years"	"75-84"	131162	2196687	5970.9
	"Mississippi"	"28"	"85+ years"	"85+"	125733	798068	15754.7
	"Mississippi"	"28"	"Not Stated"	"NS"	101	Not Applicable	Not Applicable
	"Missouri"	"29"	"< 1 year"	"1"	9895	1363565	725.7
	"Missouri"	"29"	"1-4 years"	"1-4"	1755	5448232	32.2
	"Missouri"	"29"	"5-9 years"	"5-9"	1057	6978397	15.1
	"Missouri"	"29"	"10-14 years"	"10-14"	1381	7257910	19.0
	"Missouri"	"29"	"15-19 years"	"15-19"	5551	7463721	74.4
	"Missouri"	"29"	"20-24 years"	"20-24"	7935	7394055	107.3
	"Missouri"	"29"	"25-34 years"	"25-34"	17273	13694958	126.1
	"Missouri"	"29"	"35-44 years"	"35-44"	30828	14305585	215.5
	"Missouri"	"29"	"45-54 years"	"45-54"	69669	14861091	468.8
	"Missouri"	"29"	"55-64 years"	"55-64"	118247	11969521	987.9
	"Missouri"	"29"	"65-74 years"	"65-74"	176693	7974776	2215.6
	"Missouri"	"29"	"75-84 years"	"75-84"	268886	4938981	5444.2
	"Missouri"	"29"	"85+ years"	"85+"	299101	1983002	15083.2
	"Missouri"	"29"	"Not Stated"	"NS"	54	Not Applicable	Not Applicable
	"Montana"	"30"	"< 1 year"	"1"	1315	213163	616.9
	"Montana"	"30"	"1-4 years"	"1-4"	299	849622	35.2
	"Montana"	"30"	"5-9 years"	"5-9"	214	1092940	19.6
	"Montana"	"30"	"10-14 years"	"10-14"	262	1154740	22.7
	"Montana"	"30"	"15-19 years"	"15-19"	1003	1234276	81.3
	"Montana"	"30"	"20-24 years"	"20-24"	1380	1223497	112.8
	"Montana"	"30"	"25-34 years"	"25-34"	2749	2070813	132.7
	"Montana"	"30"	"35-44 years"	"35-44"	4585	2210607	207.4
	"Montana"	"30"	"45-54 years"	"45-54"	10271	2561086	401.0
	"Montana"	"30"	"55-64 years"	"55-64"	18010	2202455	817.7
	"Montana"	"30"	"65-74 years"	"65-74"	26774	1407582	1902.1
	"Montana"	"30"	"75-84 years"	"75-84"	41554	829180	5011.5
	"Montana"	"30"	"85+ years"	"85+"	50063	340111	14719.6
	"Nebraska"	"31"	"< 1 year"	"1"	2765	461603	599.0
	"Nebraska"	"31"	"1-4 years"	"1-4"	529	1820995	29.1
